inchi,inchikey,smiles_rea,smiles_pro,RGT,SOL,CAT,ylds,PN,reference,DOI
"InChI=1S/C14H14O2/c1-10-3-8-14(15)13(9-10)11-4-6-12(16-2)7-5-11/h3-9,15H,1-2H3",PUSPHKZGANMBFQ-UHFFFAOYSA-N,COc1ccc(-c2cc(C)ccc2O)cc1,COc1ccc(-c2cc(C)cc(-c3cc(C)cc(-c4ccc(OC)cc4)c3O)c2O)cc1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",33.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C7H7BrO/c1-5-2-3-7(9)6(8)4-5/h2-4,9H,1H3",MTIDYGLTAOZOGU-UHFFFAOYSA-N,Cc1ccc(O)c(Br)c1,Cc1cc(Br)c(O)c(-c2cc(C)cc(Br)c2O)c1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",16.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H14O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h4,6-7,12H,1,5H2,2-3H3",VJBNTMUSFMRWSH-UHFFFAOYSA-N,C=CCc1c(C)cc(C)cc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H16O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h6-7,12H,4-5H2,1-3H3",FFEBZYTUVUAZHA-UHFFFAOYSA-N,CCCc1c(C)cc(C)cc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C8H10O2/c1-6-5-7(9)3-4-8(6)10-2/h3-5,9H,1-2H3",ILASIIGKRFKNQC-UHFFFAOYSA-N,COc1ccc(O)cc1C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C13H14O4/c1-8(14)11(9(2)15)6-10-4-5-12(16)13(7-10)17-3/h4-7,16H,1-3H3",XMAWAPAJKQHUHU-UHFFFAOYSA-N,COc1cc(C=C(C(C)=O)C(C)=O)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O2/c1-6-4-8(10)7(2)9(5-6)11-3/h4-5,10H,1-3H3",BKTWCYQXHSDAKV-UHFFFAOYSA-N,COc1cc(C)cc(O)c1C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C7H7FO2/c1-10-7-3-2-5(9)4-6(7)8/h2-4,9H,1H3",ORECFXMTZQZHSP-UHFFFAOYSA-N,COc1ccc(O)cc1F,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C18H22O5/c1-20-15-9-12(7-8-14(15)19)5-6-13-10-16(21-2)18(23-4)17(11-13)22-3/h7-11,19H,5-6H2,1-4H3",NRAJPMHEOBLUQC-UHFFFAOYSA-N,COc1cc(CCc2cc(OC)c(OC)c(OC)c2)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C12H18O2/c1-8-6-9(12(2,3)4)11(14-5)10(13)7-8/h6-7,13H,1-5H3",KIMXGZLDJDYTNE-UHFFFAOYSA-N,COc1c(O)cc(C)cc1C(C)(C)C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C15H18O6/c1-4-20-14(17)11(15(18)21-5-2)8-10-6-7-12(16)13(9-10)19-3/h6-9,16H,4-5H2,1-3H3",PLTKCENRRRYKPI-UHFFFAOYSA-N,CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H14O2/c1-4-5-10-8(2)6-9(13-3)7-11(10)12/h4,6-7,12H,1,5H2,2-3H3",YQYGFEVRZGUNTQ-UHFFFAOYSA-N,C=CCc1c(C)cc(OC)cc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H10O/c1-2-4-8-5-3-6-9(10)7-8/h2-3,5-7,10H,1,4H2",PSXBTXZCQRAZGM-UHFFFAOYSA-N,C=CCc1cccc(O)c1,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C10H14O3/c1-4-8-9(12-2)5-7(11)6-10(8)13-3/h5-6,11H,4H2,1-3H3",JHTNOAALNFTAMS-UHFFFAOYSA-N,CCc1c(OC)cc(O)cc1OC,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C10H14O3/c1-4-8-9(12-2)5-7(11)6-10(8)13-3/h5-6,11H,4H2,1-3H3",JHTNOAALNFTAMS-UHFFFAOYSA-N,CCc1c(OC)cc(O)cc1OC,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O3/c1-6-8(11-2)4-7(10)5-9(6)12-3/h4-5,10H,1-3H3",UXGHDWLJFHAOMB-UHFFFAOYSA-N,COc1cc(O)cc(OC)c1C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O3/c1-6-8(11-2)4-7(10)5-9(6)12-3/h4-5,10H,1-3H3",UXGHDWLJFHAOMB-UHFFFAOYSA-N,COc1cc(O)cc(OC)c1C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C14H14O3/c1-16-12-8-11(15)9-13(17-2)14(12)10-6-4-3-5-7-10/h3-9,15H,1-2H3",NYRGGUKFEKVHAV-UHFFFAOYSA-N,COc1cc(O)cc(OC)c1-c1ccccc1,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C14H14O3/c1-16-12-8-11(15)9-13(17-2)14(12)10-6-4-3-5-7-10/h3-9,15H,1-2H3",NYRGGUKFEKVHAV-UHFFFAOYSA-N,COc1cc(O)cc(OC)c1-c1ccccc1,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O3/c1-11-6-7-3-4-8(10)9(5-7)12-2/h3-5,10H,6H2,1-2H3",USDDPDQEVLAOBO-UHFFFAOYSA-N,COCc1ccc(O)c(OC)c1,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H10N2O3/c1-16-10-5-7(2-3-9(10)14)4-8(6-12)11(13)15/h2-5,14H,1H3,(H2,13,15)",XGWRIMMSDUGXTL-UHFFFAOYSA-N,COc1cc(C=C(C#N)C(N)=O)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C12H11NO4/c1-16-11-6-8(3-4-10(11)14)5-9(7-13)12(15)17-2/h3-6,14H,1-2H3",RCBWIWZZJPDWRU-UHFFFAOYSA-N,COC(=O)C(C#N)=Cc1ccc(O)c(OC)c1,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H16O/c1-8-5-9(11(2,3)4)7-10(12)6-8/h5-7,12H,1-4H3",JOISCPZYGOECQA-UHFFFAOYSA-N,Cc1cc(O)cc(C(C)(C)C)c1,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O3/c1-6-4-7(10)5-8(11-2)9(6)12-3/h4-5,10H,1-3H3",PEXUNKRRNXIMST-UHFFFAOYSA-N,COc1cc(O)cc(C)c1OC,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O3/c1-6-4-7(10)5-8(11-2)9(6)12-3/h4-5,10H,1-3H3",PEXUNKRRNXIMST-UHFFFAOYSA-N,COc1cc(O)cc(C)c1OC,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C10H12O3/c1-6-4-8(12)10(7(2)11)9(5-6)13-3/h4-5,12H,1-3H3",QYPIGDXWBIASMZ-UHFFFAOYSA-N,COc1cc(C)cc(O)c1C(C)=O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C16H24O2/c1-11-9-12(14(18-5)13(17)10-11)16(4)8-6-7-15(16,2)3/h9-10,17H,6-8H2,1-5H3",JMRBPRCMQWMKMN-UHFFFAOYSA-N,COc1c(O)cc(C)cc1C1(C)CCCC1(C)C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C15H12N2O2/c1-19-15-9-11(5-6-14(15)18)8-12(10-16)13-4-2-3-7-17-13/h2-9,18H,1H3",VNGWLLJZPDZEQS-UHFFFAOYSA-N,COc1cc(C=C(C#N)c2ccccn2)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C15H24O2/c1-14(2,3)10-8-11(15(4,5)6)13(17-7)9-12(10)16/h8-9,16H,1-7H3",HLCYOXANCYSPFB-UHFFFAOYSA-N,COc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C10H12O3/c1-12-10-5-7(2-3-9(10)11)4-8-6-13-8/h2-3,5,8,11H,4,6H2,1H3",WQAPNRUAKQGQLB-UHFFFAOYSA-N,COc1cc(CC2CO2)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H14O4/c1-8(12)15-6-5-9-3-4-10(13)11(7-9)14-2/h3-4,7,13H,5-6H2,1-2H3",KYOAGPAAAMNAHU-UHFFFAOYSA-N,COc1cc(CCOC(C)=O)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H14O5/c1-6-9(11(13)16-4)7(12)5-8(14-2)10(6)15-3/h5,12H,1-4H3",IHUIKFZGLJGQRJ-UHFFFAOYSA-N,COC(=O)c1c(O)cc(OC)c(OC)c1C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H14O5/c1-6-9(11(13)16-4)7(12)5-8(14-2)10(6)15-3/h5,12H,1-4H3",IHUIKFZGLJGQRJ-UHFFFAOYSA-N,COC(=O)c1c(O)cc(OC)c(OC)c1C,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C12H15NO5/c1-7(14)13-9(12(16)17)5-8-3-4-10(15)11(6-8)18-2/h3-4,6,9,15H,5H2,1-2H3,(H,13,14)(H,16,17)",UKDKTHYZLXZOSS-UHFFFAOYSA-N,COc1cc(CC(NC(C)=O)C(=O)O)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C13H18O4/c1-13(2)16-8-10(17-13)6-9-4-5-11(14)12(7-9)15-3/h4-5,7,10,14H,6,8H2,1-3H3",MRACRDXQTWTWGX-UHFFFAOYSA-N,COc1cc(CC2COC(C)(C)O2)ccc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C17H28O2/c1-3-4-5-6-7-8-9-10-11-15-12-13-16(18)17(14-15)19-2/h12-14,18H,3-11H2,1-2H3",UKXCVJSOFQUFQD-UHFFFAOYSA-N,CCCCCCCCCCc1ccc(O)c(OC)c1,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C10H12O4/c1-6-4-7(13-2)5-8(11)9(6)10(12)14-3/h4-5,11H,1-3H3",PFVPJOAAHSOENR-UHFFFAOYSA-N,COC(=O)c1c(C)cc(OC)cc1O,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C20H22O4/c1-5-6-13-9-15-12(2)19(24-20(15)18(10-13)23-4)14-7-8-16(21)17(11-14)22-3/h5-12,19,21H,1-4H3",ITDOFWOJEDZPCF-UHFFFAOYSA-N,CC=Cc1cc(OC)c2c(c1)C(C)C(c1ccc(O)c(OC)c1)O2,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C10H12O4/c1-6-4-7(11)9(10(12)14-3)8(5-6)13-2/h4-5,11H,1-3H3",QZTSAQUIAVLTBW-UHFFFAOYSA-N,COC(=O)c1c(O)cc(C)cc1OC,no_data,no_data,no_data,no_data,0.0,0.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
