inchi_rea,inchikey_rea,smiles_rea,smiles_pro,RGT,SOL,CAT,ylds,reference
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['1221070-78-5'],[],[],95.0,Selective oxidation of exogenous substrates by a bis-Cu(III) bis-oxide complex: Mechanism and scope
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7664-41-7', '7761-88-8']",['64-17-5'],[],95.0,C-c oxidative coupling of phenols and its derivatives catalyzed by silver ammonia complex
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-73-2', '2386-53-0', '7722-84-1']",['7732-18-5'],[],95.0,Method for synthesis of bisphosphite ligand
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['869367-86-2'],['75-09-2'],[],95.0,"Bis(μ-oxo)dicopper(III) complexes of a homologous series of simple peralkylated 1,2-diamines: steric modulation of structure, stability, and reactivity"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['67-56-1', '1310-58-3', '7732-18-5', '13746-66-2']",[],[],95.0,Sterically demanding diphosphonite ligands - synthesis and application in nickel-catalyzed isomerization of 2-methyl-3-butenenitrile
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-73-2', '7722-84-1']",['7732-18-5'],['143-07-7'],95.0,"Preparation of 2,2'-dihydroxybiphenyls by oxidative coupling of phenols with hydrogen peroxide"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['228716-23-2'],['75-09-2'],[],95.0,Exogenous Substrate Reactivity with a [Cu(III)2O2]2+ Core: Structural Implications
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['110-18-9', '7758-89-6']",['67-56-1'],[],94.0,Preparation method of novel bidentate phosphite ligand and application in Buchwald-Hartwig reaction thereof
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",93.0,Controlling the Catalytic Aerobic Oxidation of Phenols
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7722-84-1'],['7732-18-5'],"['143-07-7', '1310-73-2']",93.0,"Regioselective oxidative coupling method and catalysts for producing 2,2'-dihydroxybiphenyls from phenols"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['1310-58-3'],"['67-56-1', '7732-18-5']",['13746-66-2'],92.0,Tetraphosphite ligand for ultrafast isomerization-hydroformylation of C4 raffinate under mild conditions
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,[],['67-68-5'],"['7440-05-3', '856925-70-7']",92.0,Magnetic methylene-based mesoporous organosilica composite-supported IL/Pd: a powerful and highly recoverable catalyst for oxidative coupling of phenols and naphthols
"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1,C=CCc1cc(OC)c(O)c(-c2cc(CC=C)cc(OC)c2O)c1,"['1310-73-2', '7601-89-0']",['67-56-1'],[],100.0,Electrosynthesis of γ-asarone
"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1,C=CCc1cc(OC)c(O)c(-c2cc(CC=C)cc(OC)c2O)c1,"['1336-21-6', '13746-66-2', '7647-01-0']","['67-64-1', '7732-18-5']",[],98.0,Fully renewable thermosets based on bis-eugenol prepared by thiol-click chemistry
"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1,C=CCc1cc(OC)c(O)c(-c2cc(CC=C)cc(OC)c2O)c1,['7722-84-1'],['7732-18-5'],['9003-99-0'],94.0,Model Study of the Enzymatic Modification of Natural Extracts: Peroxidase-Based Removal of Eugenol from Rose Essential Oil
"InChI=1S/C11H8N2O2/c1-15-11-5-8(2-3-10(11)14)4-9(6-12)7-13/h2-5,14H,1H3",WKTJJISTXUHPEQ-UHFFFAOYSA-N,COc1cc(C=C(C#N)C#N)ccc1O,COc1cc(C=C(C#N)C#N)cc(-c2cc(C=C(C#N)C#N)cc(OC)c2O)c1O,"['7782-44-7', '7647-01-0']","['67-68-5', '7732-18-5']",['80498-15-3'],100.0,Laccase-catalyzed oxidative phenolic coupling of vanillidene derivatives
"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",NWVVVBRKAWDGAB-UHFFFAOYSA-N,COc1ccc(O)cc1,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,['7647-01-0'],"['75-05-8', '7732-18-5']",['2822580-34-5'],99.0,Effect of Redox-Inactive Metal Ion-Nickel(III) Interactions on the Redox Properties and Proton-Coupled Electron Transfer Reactivity
"InChI=1S/C11H14O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h4,6-7,12H,1,5H2,2-3H3",VJBNTMUSFMRWSH-UHFFFAOYSA-N,C=CCc1c(C)cc(C)cc1O,C=CCc1c(C)cc(C)c(-c2c(C)cc(C)c(CC=C)c2O)c1O,"['64-19-7', '7782-44-7']",['108-88-3'],['1644540-08-8'],99.0,Asymmetric Oxidative Coupling of Phenols and Hydroxycarbazoles
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7722-84-1', '7775-14-6']","['141-78-6', '7732-18-5']",['311-28-4'],99.0,Preparation of biaryl compounds by reacting phenols using iodide salts and co-oxidizing agents
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['1310-58-3'],"['67-56-1', '7732-18-5']",['13746-66-2'],98.0,Tetraphosphite ligand for ultrafast isomerization-hydroformylation of C4 raffinate under mild conditions
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-58-3', '13746-66-2']","['67-56-1', '7732-18-5']",[],98.0,"A Homogeneous, Recyclable Polymer Support for Rh(I)-Catalyzed C-C Bond Formation"
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-58-3', '13746-66-2']","['67-56-1', '7732-18-5']",[],98.0,Polymer-supported transition metal catalyst complexes and methods of use
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-58-3', '13746-66-2']","['67-56-1', '7732-18-5']",[],98.0,"A Homogeneous, Recyclable Rhodium(I) Catalyst for the Hydroarylation of Michael Acceptors"
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-58-3', '13746-66-2']","['67-56-1', '7732-18-5']",[],98.0,Stereocontrol in tandem reaction sequences under hydroformylation conditions
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['67-56-1', '1310-58-3', '7732-18-5', '13746-66-2']",[],[],98.0,Sterically demanding diphosphonite ligands - synthesis and application in nickel-catalyzed isomerization of 2-methyl-3-butenenitrile
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-58-3', '7782-44-7']","['7732-18-5', '64-17-5']","['1310-58-3', '10028-22-5']",96.0,Activated carbon supported iron catalyst and the method for catalyzing oxidative coupling reaction of 3-tertiary butyl-4-hydroxy anisole
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7722-84-1', '7775-14-6']","['141-78-6', '7732-18-5']",['311-28-4'],95.0,Hypoiodite-catalysed oxidative homocoupling of arenols and tandem oxidation/cross-coupling of hydroquinones with arenes
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['13746-66-2'],"['67-56-1', '7732-18-5']",[],95.0,Designing highly efficient Rh/CPOL-bp&PPh3 heterogeneous catalysts for hydroformylation of internal and terminal olefins
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-58-3', '7782-44-7']","['7732-18-5', '64-17-5']","['1310-58-3', '10421-48-4']",93.0,Activated carbon supported iron catalyst and the method for catalyzing oxidative coupling reaction of 3-tertiary butyl-4-hydroxy anisole
"InChI=1S/C11H16O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h6-7,12H,4-5H2,1-3H3",FFEBZYTUVUAZHA-UHFFFAOYSA-N,CCCc1c(C)cc(C)cc1O,CCCc1c(C)cc(C)c(-c2c(C)cc(C)c(CCC)c2O)c1O,"['64-19-7', '7782-44-7']",['108-88-3'],['1644540-08-8'],98.0,Asymmetric Oxidative Coupling of Phenols and Hydroxycarbazoles
"InChI=1S/C11H15ClO/c1-7-5-10(13)8(6-9(7)12)11(2,3)4/h5-6,13H,1-4H3",PDCFFHOQPXOVDC-UHFFFAOYSA-N,Cc1cc(O)c(C(C)(C)C)cc1Cl,Cc1c(Cl)cc(C(C)(C)C)c(O)c1-c1c(C)c(Cl)cc(C(C)(C)C)c1O,['110-05-4'],['108-90-7'],[],98.0,Efficient Microwave Method for the Oxidative Coupling of Phenols
"InChI=1S/C11H15ClO/c1-7-5-10(13)8(6-9(7)12)11(2,3)4/h5-6,13H,1-4H3",PDCFFHOQPXOVDC-UHFFFAOYSA-N,Cc1cc(O)c(C(C)(C)C)cc1Cl,Cc1c(Cl)cc(C(C)(C)C)c(O)c1-c1c(C)c(Cl)cc(C(C)(C)C)c1O,[],['108-90-7'],['110-05-4'],98.0,"Electron-Withdrawing, Biphenyl-2,2'-diol-Based Compounds for Asymmetric Catalysis"
"InChI=1S/C19H29NO5/c1-18(2,3)13-10-12(8-9-15(13)21)11-14(16(22)24-7)20-17(23)25-19(4,5)6/h8-10,14,21H,11H2,1-7H3,(H,20,23)",UYLQLXFFKGZGSG-UHFFFAOYSA-N,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,COC(=O)C(Cc1cc(-c2cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,['124-43-6'],['920-66-1'],['16456-81-8'],98.0,Process for making biaryl-bridged cyclic peptides
"InChI=1S/C19H29NO5/c1-18(2,3)13-10-12(8-9-15(13)21)11-14(16(22)24-7)20-17(23)25-19(4,5)6/h8-10,14,21H,11H2,1-7H3,(H,20,23)",UYLQLXFFKGZGSG-UHFFFAOYSA-N,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,COC(=O)C(Cc1cc(-c2cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,['124-43-6'],['920-66-1'],['16456-81-8'],98.0,Synthesis of biaryl-bridged cyclic peptides via catalytic oxidative cross-coupling reactions
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['110-05-4', '7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']",['2338538-90-0'],97.0,Catalytic Aerobic Phenol Homo- and Cross-Coupling Reactions with Copper Complexes Bearing Redox-Active Guanidine Ligands
"InChI=1S/C17H20O/c1-12-5-7-13(8-6-12)14-9-10-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",MWXYQNUGONRDPF-UHFFFAOYSA-N,Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,Cc1ccc(-c2cc(-c3cc(-c4ccc(C)cc4)cc(C(C)(C)C)c3O)c(O)c(C(C)(C)C)c2)cc1,"['7782-44-7', '7681-38-1']","['75-09-2', '7732-18-5']","['121-44-8', '7758-89-6']",97.0,Controlling the Catalytic Aerobic Oxidation of Phenols
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,COc1cc(C)ccc1O,COc1cc(C)cc(-c2cc(C)cc(OC)c2O)c1O,"['7782-44-7', '7647-01-0']","['107-21-1', '1634-04-4', '7732-18-5']",['142-71-2'],97.0,Cu(OAc)2-catalyzed remote benzylic C(sp3)-H oxyfunctionalization for C=O formation directed by the hindered para-hydroxyl group with ambient air as the terminal oxidant under ligand- and additive-free conditions
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,COc1cc(C)ccc1O,COc1cc(C)cc(-c2cc(C)cc(OC)c2O)c1O,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],95.0,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,COc1cc(C)ccc1O,COc1cc(C)cc(-c2cc(C)cc(OC)c2O)c1O,['7782-44-7'],"['67-64-1', '7732-18-5']",['80498-15-3'],92.0,Chemoenzymic preparation of biphenyl compounds using laccase as a coupling catalyst.
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,COc1cc(C)ccc1O,COc1cc(C)cc(-c2cc(C)cc(OC)c2O)c1O,['7782-44-7'],"['67-64-1', '7732-18-5']",['80498-15-3'],92.0,Chemoenzymic preparation of biphenyl compounds using laccase as a coupling catalyst.
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,COc1cc(C)ccc1O,COc1cc(C)cc(-c2cc(C)cc(OC)c2O)c1O,['7782-44-7'],"['67-64-1', '7732-18-5']",[],92.0,ADMET polymerization of bio-based biphenyl compounds
"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",MWOOGOJBHIARFG-UHFFFAOYSA-N,COc1cc(C=O)ccc1O,COc1cc(C=O)cc(-c2cc(C=O)cc(OC)c2O)c1O,['7727-21-1'],['7732-18-5'],['7720-78-7'],97.0,Preparation of compounds for dibenzodioxocin bond cleavage evaluation test
"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",MWOOGOJBHIARFG-UHFFFAOYSA-N,COc1cc(C=O)ccc1O,COc1cc(C=O)cc(-c2cc(C=O)cc(OC)c2O)c1O,['7722-84-1'],['7732-18-5'],[],97.0,Chemoenzymatic total synthesis of a naturally occurring (5-5')/(8'-O-4'') dehydrotrimer of ferulic acid
